index,sentiment,gpt_Rating,reliability,utility,driving,comfort,interior,fuel_efficiency,technology
12226,positive,4,0,1,0,0,1,1,0
1150,positive,4,0,0,1,1,1,0,0
524,positive,4,0,0,1,1,1,0,1
5649,negative,1,1,0,0,0,0,0,0
6594,negative,1,0,0,1,0,0,1,0
575,negative,1,0,0,1,0,0,1,0
5593,positive,4,0,0,0,1,0,0,0
1727,negative,1,1,0,0,0,0,0,0
4892,positive,5,0,1,1,0,0,1,0
8017,negative,2,0,0,1,1,1,1,0
11814,negative,1,1,0,0,0,0,1,0
4548,positive,5,0,0,1,0,0,0,0
9623,negative,2,0,0,1,0,1,0,1
2356,negative,1,1,0,0,0,0,0,0
3588,negative,1,0,0,0,0,0,0,1
440,positive,5,1,0,1,1,1,1,1
591,positive,5,0,0,1,1,1,0,0
16224,negative,1,0,0,0,0,0,0,0
2528,positive,4,0,0,1,0,1,0,1
2325,positive,5,0,0,0,1,1,0,0
1398,negative,2,0,0,1,1,1,1,1
3208,positive,4,0,0,1,1,1,1,1
8130,negative,1,1,0,0,0,0,0,0
573,positive,5,0,0,0,0,0,1,0
4807,negative,2,0,0,1,0,0,0,0
238,negative,1,0,0,0,0,1,0,1
3486,positive,4,0,1,1,1,1,0,0
144,positive,4,0,1,0,1,1,1,0
13007,positive,4,0,0,0,1,1,0,0
9856,positive,5,0,0,0,0,0,1,0
4478,positive,5,0,0,1,0,0,0,0
4886,positive,4,1,0,1,0,0,0,0
14942,positive,5,1,0,0,0,0,1,0
4912,positive,5,1,0,0,1,1,1,0
3911,neutral,3,0,1,0,0,0,0,0
5992,negative,1,0,0,0,0,0,0,1
12755,positive,4.5,0,0,1,0,0,0,0
6722,positive,5,0,1,1,1,1,1,0
9862,positive,5,1,0,1,1,0,0,0
1033,positive,4,0,1,0,0,0,0,0
5286,positive,4,0,0,1,0,0,0,0
1880,positive,5,1,0,0,1,0,0,0
1171,positive,5,1,1,0,1,0,1,0
3106,positive,5,0,1,0,1,1,1,1
4523,positive,5,1,1,1,1,1,0,0
528,negative,1,1,0,0,0,0,0,0
146,negative,2,0,0,1,0,0,0,0
6946,neutral,3,1,0,0,0,0,0,0
4721,neutral,3,1,0,1,0,1,1,0
2454,positive,5,1,1,0,1,1,1,0
4615,positive,5,0,1,1,1,1,0,1
1010,negative,1,1,0,0,0,0,0,0
10424,positive,5,0,0,1,1,1,0,0
3869,positive,4,0,0,1,0,1,0,0
1927,negative,1,1,0,0,0,0,0,0
6459,positive,4,1,0,1,1,1,1,0
10357,positive,5,1,0,1,1,1,0,0
2118,positive,4,1,0,1,1,1,1,0
3182,positive,5,1,1,1,1,0,0,0
951,negative,1,1,0,0,0,0,0,0
1706,positive,5,1,1,1,1,1,0,1
4951,positive,5,1,0,1,1,1,0,0
5474,positive,4,0,1,1,1,1,0,0
6708,positive,4,1,1,1,1,1,1,0
430,negative,1,1,0,0,0,1,0,0
16846,positive,5,0,0,0,1,1,1,0
4851,positive,5,0,0,1,1,0,1,0
3143,positive,5,1,0,1,1,1,0,0
3983,positive,4.5,0,0,1,0,1,0,0
11174,positive,5,0,1,1,1,1,0,0
14942,positive,5,0,1,1,1,1,0,1
2338,negative,2,1,0,0,1,0,0,0
4346,positive,5,1,0,0,1,1,0,1
8790,positive,4,0,0,1,1,1,0,0
8818,positive,5,1,0,0,0,0,0,0
1009,neutral,3,1,0,1,1,1,0,1
4168,negative,1,1,0,0,0,0,0,0
216,positive,5,0,0,1,1,0,0,0
955,positive,5,1,0,1,1,1,1,0
7448,negative,3,0,0,1,0,0,0,0
1772,negative,2,1,0,1,0,0,0,0
4706,positive,5,1,1,1,1,0,0,0
18726,neutral,3,0,0,1,0,0,1,0
1532,neutral,3,0,0,0,0,0,0,1
1951,positive,4,1,0,1,1,1,1,0
3095,positive,5,1,1,1,1,1,1,0
666,positive,4,0,0,0,1,0,1,0
7896,positive,4,0,0,0,1,0,0,0
8622,negative,1,1,0,0,0,0,0,0
2640,positive,4,1,1,1,1,1,0,0
696,positive,5,0,0,1,1,1,0,1
4634,neutral,3,0,0,1,0,1,1,0
494,neutral,3,0,0,0,0,0,0,0
1989,positive,5,0,0,1,1,1,0,0
5691,positive,4,1,1,1,1,0,1,0
695,negative,1,0,0,0,0,1,0,1
3050,positive,4.5,0,1,1,1,1,0,0
15103,negative,1,0,0,0,0,0,0,0
4147,negative,2,1,0,0,0,1,0,0
1394,positive,5,0,1,1,1,1,1,0
7111,negative,2,0,0,0,0,0,0,0
3131,negative,1,0,0,0,0,1,0,0
2304,positive,5,1,0,1,1,1,1,0
550,positive,5,1,0,1,0,0,0,0
16758,positive,5,1,1,1,0,0,0,0
201,neutral,3,0,0,1,1,1,0,0
5404,positive,5,1,0,1,0,0,1,0
3115,positive,5,1,0,1,0,0,0,0
5849,positive,5,1,0,1,1,0,0,1
7953,positive,4,0,0,1,1,1,0,0
692,positive,5,1,0,0,1,0,0,0
9237,positive,4,1,1,1,1,1,1,0
3204,negative,1,0,0,0,0,0,0,1
1182,positive,4,1,0,1,1,1,0,0
5731,positive,5,0,0,1,0,0,0,0
1450,positive,5,1,1,1,1,1,0,0
761,positive,4,1,0,1,0,0,0,0
1408,positive,5,1,1,1,1,0,1,0
3400,positive,5,0,0,1,1,1,0,1
5878,positive,4,1,1,1,0,0,0,0
7527,positive,5,1,1,1,1,1,0,0
538,positive,5,1,0,1,1,0,1,0
7141,positive,5,1,0,1,1,0,0,0
2368,negative,2,0,1,0,0,1,0,0
19348,positive,5,1,0,1,0,0,1,0
4741,positive,4,0,0,1,1,1,0,1
2347,positive,5,0,0,1,0,0,0,0
11636,positive,4,1,1,1,1,1,1,0
1868,positive,5,0,1,1,1,1,1,1
5526,positive,5,1,0,1,1,0,1,0
5706,negative,2,0,1,1,0,0,1,0
621,negative,1,0,0,1,1,1,0,0
