index,sentiment,gpt_Rating,reliability,utility,driving,comfort,interior,fuel_efficiency,technology
4464,positive,5,1,1,1,1,1,1,0
842,neutral,3,0,0,0,0,0,0,0
2434,positive,5,1,1,1,0,0,1,0
12610,positive,5,0,1,0,0,0,0,0
14191,positive,5,1,0,0,0,0,0,0
1494,positive,5,1,1,1,1,1,1,1
4470,positive,5,1,0,1,0,0,1,0
9733,neutral,3,1,0,0,0,0,0,0
3032,negative,2,0,1,0,0,1,1,0
5005,positive,4,0,1,0,1,1,0,1
17259,positive,4,0,0,1,0,1,0,0
2869,positive,5,0,1,1,1,1,1,1
6972,positive,5,1,1,1,1,1,1,1
20043,positive,5,1,1,1,1,1,0,0
446,positive,5,0,0,1,0,0,0,0
862,positive,4,1,0,1,1,1,0,0
2163,positive,4,1,1,1,1,1,1,1
4202,positive,4,1,1,0,1,1,0,0
3137,negative,1,0,0,0,0,0,0,0
10655,negative,1,0,0,0,1,0,0,1
12114,positive,4.5,0,0,1,1,1,1,1
4005,positive,5,0,0,1,0,0,1,0
4179,positive,4,1,0,1,1,1,0,0
1744,positive,4,0,1,0,1,1,1,0
18817,negative,1,1,0,0,0,0,0,0
1320,positive,5,1,1,1,1,1,0,0
6068,negative,2,0,1,0,0,0,0,1
20132,positive,4,1,1,0,1,1,1,0
16960,positive,5,1,1,0,1,1,0,0
7528,positive,5,0,1,0,1,1,1,0
829,positive,4,1,1,1,1,1,1,1
8311,positive,4,1,0,0,1,0,0,0
4402,negative,2,0,0,1,0,0,0,0
7608,positive,5,1,0,1,0,0,0,0
1709,positive,5,0,0,1,0,0,0,0
2737,positive,5,1,0,1,1,1,1,0
605,positive,5,0,0,1,1,1,0,0
17073,positive,5,0,0,1,0,0,0,0
8978,positive,4,1,0,1,0,0,0,0
3454,positive,4,0,1,1,1,1,1,0
4543,positive,5,1,1,1,1,1,1,0
263,positive,4,0,1,1,1,1,0,0
19477,negative,1,1,0,0,0,0,0,0
2049,negative,1,1,0,0,0,0,0,0
15121,neutral,3,0,0,1,0,1,0,0
3645,positive,4,1,0,1,1,1,0,1
2527,positive,4,1,0,1,0,0,0,0
6732,positive,5,0,0,1,0,0,0,0
6734,positive,5,1,1,1,0,0,0,0
8196,negative,1,0,0,0,0,0,0,0
7449,positive,5,1,0,1,0,0,0,0
6979,negative,1,0,0,0,0,0,0,0
2217,positive,4,1,1,1,1,1,1,0
5642,negative,1,0,0,0,0,0,0,0
798,positive,4,1,1,1,1,1,0,0
6030,negative,1,0,0,0,0,0,0,0
2453,negative,1,0,0,0,1,0,0,0
4138,positive,4,1,0,1,1,0,0,0
10051,positive,5,1,0,1,1,0,0,0
3766,positive,5,1,0,1,1,0,1,0
2725,positive,4.5,0,0,1,1,0,0,0
18257,negative,2,1,1,0,0,0,0,1
5739,negative,1,0,0,0,0,1,0,0
5777,negative,1,0,0,0,0,1,0,0
408,positive,5,0,0,1,0,0,0,0
3060,positive,5,1,0,0,1,0,0,0
3939,positive,4.5,0,0,0,0,0,0,0
12843,positive,5,1,0,1,1,1,0,0
125,positive,5,0,0,1,1,1,1,1
355,positive,5,1,1,1,1,1,0,0
6919,positive,4,1,0,1,1,0,0,0
4651,negative,1,0,0,1,0,0,0,0
2924,negative,1,1,0,0,0,1,0,1
287,positive,5,1,1,1,1,1,0,0
7595,positive,5,1,1,1,1,1,0,0
13660,positive,5,1,1,1,1,1,0,0
2827,positive,5,1,0,1,1,1,0,0
71,positive,5,1,1,1,1,1,0,0
10803,positive,5,1,1,1,1,1,1,1
14145,positive,5,0,0,1,0,0,0,1
1256,positive,5,1,0,1,1,1,0,0
8416,positive,5,1,1,1,1,0,0,0
4355,positive,4,0,0,1,1,1,1,0
4339,neutral,3,1,0,1,1,0,1,0
6511,positive,4,1,1,1,0,0,0,0
384,positive,5,1,1,1,1,0,0,0
7391,positive,5,1,0,1,1,1,0,0
14776,positive,5,1,1,1,1,1,1,0
3529,positive,4,1,1,1,1,1,1,0
6818,positive,4,0,0,0,0,0,0,0
3673,positive,5,0,0,1,1,0,0,0
7783,positive,4,1,1,1,1,1,1,0
8552,positive,4,0,0,0,0,0,0,0
2567,positive,5,1,1,1,1,1,0,0
5080,positive,5,1,0,1,1,1,0,0
3780,positive,5,1,0,1,1,0,1,0
207,positive,4,1,1,0,1,1,0,1
2918,negative,2,1,0,0,1,1,0,0
363,positive,5,0,0,0,0,0,0,0
4539,positive,5,1,0,1,0,0,0,0
5847,positive,5,1,0,0,0,0,0,0
8407,positive,4,1,1,1,1,1,1,0
19382,positive,3.5,0,1,0,1,0,0,1
810,positive,5,0,1,1,1,1,1,1
