index,sentiment,gpt_Rating,reliability,utility,driving,comfort,interior,fuel_efficiency,technology
87691,positive,4,1,1,1,1,1,1,1
87790,neutral,3,1,0,1,1,0,1,0
87793,negative,2,1,0,1,0,1,1,0
87799,positive,5,1,1,1,0,0,1,0
87836,positive,5,1,0,0,0,0,0,0
87861,neutral,3,0,0,0,0,0,0,0
87883,positive,5,0,0,1,0,1,1,0
87888,positive,5,0,0,1,1,0,1,0
87938,positive,5,1,1,1,1,0,1,0
87939,positive,5,1,1,1,1,0,0,0
87956,positive,5,0,1,1,1,1,0,0
87958,positive,5,0,1,1,1,1,1,0
88017,negative,2,0,0,1,0,0,0,0
88026,positive,4,0,0,1,1,1,1,0
88033,neutral,3,1,0,1,0,1,0,0
88056,positive,5,0,0,0,0,0,0,0
88102,positive,4,0,1,1,1,1,0,1
88123,positive,5,0,1,1,0,0,0,0
88146,positive,5,0,0,1,0,0,0,0
88159,positive,4,1,0,1,1,1,1,0
88165,negative,2,0,0,1,0,1,1,0
88179,positive,5,1,0,0,0,0,0,0
88197,positive,5,0,0,1,0,0,0,0
88203,positive,5,0,1,1,0,0,0,0
88207,positive,5,0,1,1,1,1,0,0
88258,negative,2,0,0,0,0,1,1,0
88259,positive,4,0,0,1,0,0,1,0
88278,positive,4,0,0,0,0,0,1,0
88279,positive,5,0,0,0,0,0,0,0
88334,positive,5,1,1,1,1,0,1,0
88404,positive,5,1,1,1,0,0,1,0
88466,positive,4,1,1,0,1,1,0,0
88541,negative,1,1,0,0,0,0,0,0
88576,positive,4,1,1,0,0,1,1,0
88626,positive,5,1,0,0,0,0,1,0
88635,negative,1,1,0,0,0,1,0,0
88642,negative,2,0,0,1,0,0,1,0
88651,positive,4,1,0,0,0,0,0,0
88657,positive,5,1,0,1,0,0,0,0
88770,positive,4,1,0,1,0,1,1,0
88771,positive,5,1,1,1,1,0,1,0
88802,positive,4,0,0,1,0,0,1,0
88820,neutral,3,0,0,1,0,1,0,0
88869,positive,5,0,1,1,1,1,1,0
88874,positive,4,1,0,1,1,0,1,0
88936,positive,4,1,1,1,0,0,1,0
88949,positive,4,1,1,1,0,1,1,0
88951,positive,4,0,1,1,0,1,1,0
88981,positive,4,1,1,1,1,1,1,0
88994,positive,4,1,0,1,1,1,1,0
89094,positive,5,1,1,1,1,1,1,0
89107,positive,5,0,0,1,0,0,0,0
89110,positive,4,1,0,1,0,0,0,0
89169,positive,4,1,0,1,1,1,1,0
89198,positive,4,1,1,1,1,1,1,0
89200,positive,5,0,0,1,1,1,1,1
89216,positive,5,1,0,1,1,1,1,1
89245,negative,1,0,0,0,0,0,1,0
89305,positive,5,0,0,0,0,0,0,0
89316,positive,4,1,0,1,1,0,1,0
89326,positive,4,1,0,1,0,0,1,0
89333,negative,1,0,0,1,0,0,0,0
89420,neutral,3,1,0,1,1,0,1,0
89447,neutral,3,0,0,0,1,0,0,0
89458,negative,2,1,0,1,1,1,0,0
89498,positive,5,0,0,1,1,0,1,0
89502,positive,4,1,0,0,0,0,1,0
89503,neutral,3,1,0,0,0,0,1,0
89530,positive,5,1,0,0,0,0,0,0
89543,positive,5,1,0,1,1,1,1,1
89570,negative,1,0,0,0,0,0,1,0
89583,positive,5,1,0,1,0,0,0,0
89625,positive,5,1,1,1,1,1,1,1
89672,negative,1,0,0,0,0,0,0,0
89691,negative,1,1,0,0,1,0,0,0
89712,positive,4,0,0,1,0,1,1,0
89724,positive,4,1,1,1,0,0,1,0
89725,neutral,3,0,0,1,0,0,0,0
89741,negative,1,1,0,0,0,0,0,0
89803,positive,5,1,0,1,0,0,0,0
89808,negative,2,1,0,1,0,1,0,0
89815,neutral,3,1,0,1,0,0,0,0
89835,positive,4,1,1,1,1,1,1,0
89867,positive,5,1,0,1,1,0,1,0
89913,positive,4,1,0,1,0,0,0,0
89926,positive,3,1,0,1,0,0,0,0
90020,positive,4,1,0,0,0,0,0,0
90022,positive,4,1,0,1,1,0,1,0
90037,positive,4,1,0,1,0,0,1,1
90053,positive,4,1,0,1,0,0,1,0
90060,positive,5,1,0,1,0,0,1,0
90138,negative,2,0,0,0,0,0,0,0
90160,positive,5,1,1,1,1,1,0,1
90171,positive,4,1,1,1,1,1,1,1
90199,positive,4,1,0,0,0,0,0,0
90307,positive,4,1,0,1,1,1,0,0
90375,positive,4,1,0,0,0,0,0,0
90425,positive,4,1,0,1,1,1,1,1
90435,positive,4,1,0,1,1,1,0,1
90524,negative,2,0,0,0,0,0,0,0
90535,negative,1,0,0,0,0,0,0,0
90562,positive,5,1,0,1,1,0,1,0
90568,positive,5,1,0,1,1,1,1,1
90620,positive,4.5,0,0,1,1,1,0,0
90644,positive,4,0,1,1,1,0,1,0
90659,positive,5,0,0,1,0,0,1,0
90697,positive,5,0,0,1,0,0,0,1
90732,positive,5,0,0,1,0,0,0,0
90768,positive,5,1,1,1,0,0,0,0
90774,positive,5,1,0,1,0,0,0,0
90782,positive,5,0,1,1,1,1,0,1
90804,neutral,3,1,1,1,0,1,0,1
90831,negative,1,1,0,0,0,1,0,0
90839,positive,5,1,0,1,1,0,0,0
90844,positive,5,0,0,1,1,1,0,1
90849,positive,4,0,1,1,1,0,0,0
90883,negative,2,1,1,1,0,0,0,0
90891,positive,4,0,0,1,0,0,0,0
90943,positive,5,0,0,1,0,0,0,0
90965,positive,4,0,0,1,0,1,0,0
90987,positive,4,0,1,1,0,1,0,0
90995,positive,4,0,1,1,0,1,0,0
91002,neutral,3,0,0,1,0,1,0,0
91019,positive,4,0,0,1,1,0,0,0
91053,positive,4,1,0,1,0,1,0,0
91104,positive,4,1,0,1,1,1,0,0
91115,positive,5,0,0,1,0,0,0,0
91138,positive,5,0,0,1,0,0,0,0
91147,positive,4.5,0,0,1,0,0,0,0
91202,positive,5,1,0,1,1,1,0,1
