index,sentiment,gpt_Rating,reliability,utility,driving,comfort,interior,fuel_efficiency,technology
29582,negative,1,1,0,1,0,0,0,0
29606,positive,4,0,1,1,1,1,0,0
29623,negative,1,1,0,0,0,1,0,0
29624,positive,5,1,1,1,0,0,0,0
29636,positive,4,1,0,0,1,1,0,0
29657,positive,4,1,0,0,0,0,0,0
29680,negative,1,0,0,0,0,0,0,0
29690,negative,1,1,0,0,0,0,0,0
29691,positive,4,1,0,0,0,0,0,0
29702,negative,1,1,0,0,0,0,0,0
29706,negative,1,1,0,0,0,0,0,0
29787,positive,5,0,0,0,0,0,0,0
29838,positive,5,0,0,1,1,0,0,0
29857,positive,5,0,0,1,0,0,0,0
29899,neutral,4,0,0,1,0,0,0,0
29907,positive,5,1,1,1,1,1,1,0
29930,positive,4,0,0,0,1,1,0,0
29962,negative,1,1,0,0,0,0,0,0
29975,negative,2,0,0,0,0,0,0,1
29984,positive,5,0,0,0,0,0,0,0
29993,positive,5,1,0,1,0,0,1,0
30053,positive,5,1,1,1,1,1,1,1
30068,positive,5,1,0,1,1,1,1,0
30102,positive,5,1,0,1,1,1,1,1
30104,negative,1,1,0,1,0,1,0,1
30106,positive,4,1,1,1,1,1,1,1
30145,positive,5,1,0,1,1,1,0,0
30177,positive,5,1,1,1,1,1,0,0
30182,negative,1,1,0,0,1,0,0,0
30233,positive,5,1,0,0,0,0,0,0
30249,positive,5,1,0,0,0,0,0,0
30280,positive,5,1,0,0,1,1,0,0
30315,positive,5,1,0,1,1,0,1,0
30360,positive,5,1,0,1,0,0,1,0
30406,negative,2,1,1,1,1,1,1,1
30442,positive,5,1,0,1,1,0,1,0
30461,negative,1,0,0,0,0,0,1,0
30549,positive,5,1,0,1,0,0,0,0
30558,neutral,4,0,0,0,1,0,0,0
30561,positive,5,1,0,1,1,0,1,1
30589,positive,4,1,0,1,1,0,1,1
30608,positive,5,1,0,1,1,0,1,0
30610,positive,5,1,0,0,0,0,0,0
30643,positive,4,1,0,1,1,1,0,0
30646,positive,4,1,0,1,1,1,0,0
30781,positive,5,1,0,1,1,1,0,1
30801,positive,5,1,0,1,1,1,1,0
30802,negative,1,1,0,0,0,0,0,0
30944,positive,4,0,0,0,0,0,0,0
30966,positive,4,1,1,1,1,1,1,1
30978,positive,4,0,0,0,0,0,0,0
31003,positive,5,0,0,1,0,0,1,0
31068,positive,4,1,0,1,1,0,1,0
31080,positive,5,0,0,1,1,0,1,0
31109,positive,5,1,0,1,1,0,1,1
31116,positive,5,1,0,0,1,0,1,0
31119,negative,1,1,0,1,0,0,1,0
31133,positive,4,1,0,1,0,0,1,0
31140,negative,1,1,0,0,0,0,1,0
31169,negative,2,0,0,0,0,0,1,0
31206,neutral,3,0,0,1,0,0,0,0
31211,positive,4,1,1,1,0,0,0,0
31221,positive,5,0,0,0,0,0,0,0
31238,negative,1,0,0,0,0,1,0,0
31249,positive,5,1,0,0,0,0,1,0
31255,neutral,3,1,0,0,0,0,0,0
31285,positive,4,1,0,0,1,1,0,0
31287,positive,5,1,1,1,1,1,1,1
31292,positive,5,1,0,1,1,1,1,1
31386,positive,4,1,1,1,0,1,1,1
31507,positive,4,0,1,1,1,1,0,1
31537,positive,4,1,0,1,1,0,0,0
31550,positive,5,1,0,1,0,0,1,0
31582,positive,4,0,1,1,1,0,1,0
31597,negative,1,1,0,0,0,0,1,0
31609,positive,4,1,0,1,0,0,1,1
31631,negative,1,0,0,0,0,0,0,0
31637,negative,1,0,0,0,0,0,0,0
31665,positive,4,1,0,1,1,0,0,0
31669,positive,4,1,0,1,1,0,1,0
31712,positive,4,1,0,0,0,0,1,0
31718,positive,5,1,0,1,0,0,1,0
31736,positive,4,1,0,0,0,1,1,0
31759,negative,1,0,0,0,0,0,1,0
31765,positive,5,1,1,1,1,1,1,0
31847,positive,5,1,0,1,1,0,1,0
31859,positive,4,0,0,1,0,0,0,0
31860,positive,4,1,0,1,1,1,1,0
31865,positive,5,1,0,1,1,0,0,0
31931,negative,2,1,0,0,0,0,0,0
31933,positive,5,1,0,1,1,0,0,0
31941,positive,5,1,0,1,1,0,0,0
31989,positive,5,1,0,1,1,1,0,0
31991,positive,5,1,0,0,1,0,0,0
32071,positive,5,1,0,0,0,0,0,0
32074,positive,5,0,0,1,1,1,0,0
32158,negative,1,0,0,1,1,1,1,0
32163,positive,5,1,0,1,1,1,1,0
32178,positive,4,0,0,0,0,0,0,0
