index,sentiment,gpt_Rating,reliability,utility,driving,comfort,interior,fuel_efficiency,technology
76920,negative,2,0,0,1,1,1,0,0
76929,neutral,2,0,1,1,0,1,0,1
76933,positive,4,0,0,1,0,0,0,0
76978,positive,5,0,1,1,1,1,1,1
76990,negative,0,1,0,0,0,0,0,0
77041,positive,4,1,0,1,0,0,0,0
77049,negative,1,1,0,0,1,1,0,1
77089,negative,1,1,0,0,0,0,0,0
77162,neutral,3,0,0,0,1,0,0,0
77175,positive,4,0,1,1,1,1,1,0
77178,neutral,3,0,0,0,0,1,0,0
77212,positive,4,0,0,0,1,1,0,0
77228,positive,4,1,0,0,1,0,0,0
77243,negative,1,1,0,0,0,0,0,0
77248,positive,4,1,1,1,1,1,1,0
77253,positive,4,1,0,1,1,0,0,0
77327,positive,5,1,1,1,1,0,1,0
77409,positive,5,1,1,1,1,0,1,0
77414,positive,5,1,0,1,1,0,1,0
77473,negative,1,1,0,0,0,1,0,0
77582,positive,4,1,0,1,0,0,1,0
77588,positive,5,1,0,1,1,0,1,0
77627,positive,4,0,0,1,1,0,0,0
77635,positive,5,1,0,1,1,0,0,0
77657,positive,4,1,0,1,1,0,1,0
77670,positive,4.5,1,1,1,1,0,1,0
77677,positive,4,1,0,1,1,0,0,0
77692,positive,5,1,1,1,1,1,1,0
77705,positive,4,0,0,0,1,0,0,0
77737,positive,5,1,1,1,1,1,1,1
77797,positive,5,1,0,0,1,0,0,0
77818,positive,5,1,0,1,1,0,0,0
77822,positive,5,1,1,1,1,1,0,1
77846,positive,4,1,1,1,1,1,1,0
77847,positive,4,1,1,1,1,1,0,0
77855,positive,5,1,1,1,1,1,0,0
77885,positive,5,1,1,1,1,1,1,0
77925,positive,4,0,1,0,0,1,0,0
77947,positive,4,1,1,1,1,1,0,0
78004,positive,5,1,1,1,1,0,0,0
78075,positive,5,1,0,0,1,1,0,1
78154,neutral,3,0,0,1,1,1,1,0
78175,positive,4,1,1,1,1,1,1,0
78208,positive,4.5,1,1,1,1,0,1,0
78225,positive,4,1,0,1,0,0,1,0
78239,positive,4,1,1,1,1,0,0,0
78241,positive,5,1,1,1,1,1,0,0
78248,positive,4,0,0,1,1,0,0,0
78261,positive,4,1,1,1,1,0,0,0
78281,positive,4,1,1,1,1,1,0,0
78297,positive,4,1,1,1,1,1,1,0
78309,negative,2,0,0,1,0,1,1,1
78355,positive,4,0,0,1,1,1,1,1
78373,positive,4,1,1,1,1,0,1,0
78377,positive,4,1,0,1,1,0,1,0
78426,positive,4,1,0,1,1,1,1,0
78504,positive,4,1,1,1,1,1,1,0
78520,positive,5,0,1,1,1,1,1,1
78603,positive,5,1,1,1,1,1,1,1
78650,neutral,3,0,1,1,1,1,0,0
78667,negative,1,0,0,0,0,0,0,0
78669,positive,4,0,0,0,0,1,0,0
78709,positive,5,1,0,1,0,0,0,0
78761,neutral,3,0,0,1,0,1,1,0
78786,negative,1,1,0,1,0,0,0,0
78816,neutral,3,1,0,1,1,1,0,0
78818,positive,4,1,0,1,0,1,1,0
78843,negative,1,1,0,0,0,1,0,0
78845,positive,4,0,0,1,1,0,1,0
78852,negative,1,1,0,0,0,1,0,0
78859,negative,1,1,0,0,0,0,0,0
78904,positive,5,1,0,0,0,0,0,0
78908,positive,5,1,1,1,1,1,0,1
78935,negative,2,1,0,1,0,0,1,0
79016,positive,5,1,1,1,0,0,1,0
79050,negative,1,1,0,0,0,0,1,0
79055,positive,5,0,1,0,1,1,0,1
79078,negative,1,1,0,1,0,0,0,1
79098,negative,3,1,1,1,1,1,0,0
79166,negative,1,1,0,0,0,0,0,0
79194,negative,1,1,0,1,0,0,0,1
79196,positive,5,0,0,1,0,1,0,0
79262,positive,4,0,0,1,0,1,0,0
79266,negative,0,1,0,0,0,0,1,0
79293,positive,5,1,0,1,0,0,0,0
79316,positive,5,1,0,1,0,0,0,0
79317,positive,5,0,0,0,0,0,0,0
79323,positive,4,1,0,1,0,0,0,1
79332,positive,5,1,0,0,0,0,0,0
79393,negative,1.5,1,0,0,0,0,0,0
79426,positive,4,1,0,0,0,0,0,0
79454,positive,5,0,1,0,1,1,1,0
79458,positive,5,0,1,1,1,1,0,0
79495,positive,4,1,1,1,1,1,1,1
79521,positive,4,1,0,1,1,1,1,0
79654,positive,4,1,1,0,1,0,1,0
79663,positive,4,1,0,0,0,0,0,0
79711,positive,4,0,0,1,1,0,0,0
79723,negative,1,1,0,0,0,0,0,0
79729,positive,5,1,0,0,1,0,0,0
79743,positive,5,0,0,1,1,0,0,0
79802,positive,5,1,0,1,1,1,1,1
79816,positive,5,1,1,1,1,1,1,1
79843,negative,1,1,0,0,1,0,0,0
79847,negative,1,0,0,0,1,0,0,0
79848,negative,1,1,0,0,0,0,0,0
79889,positive,4,1,0,0,1,1,0,0
79903,positive,4,1,0,1,1,1,0,0
79938,positive,5,1,0,1,1,0,1,0
79949,positive,5,1,1,1,1,1,1,0
80025,positive,4,1,0,1,0,0,1,0
80084,positive,5,1,1,1,1,1,1,0
80087,positive,4,1,1,1,1,1,1,1
80105,positive,4,0,0,0,1,1,0,0
80127,positive,4,0,0,0,1,1,1,1
80132,positive,4,1,0,1,1,1,1,0
80171,negative,1,1,0,0,0,0,0,0
80202,positive,4,0,0,1,1,0,0,0
80223,positive,4,0,0,0,1,1,1,1
80390,positive,5,0,0,1,1,0,0,0
80451,positive,4.5,0,0,0,1,1,0,1
80452,positive,5,1,1,1,1,1,1,1
80476,positive,5,1,0,0,0,1,1,1
80526,positive,5,0,0,1,0,0,1,0
80549,positive,4,0,1,1,0,0,1,0
80555,positive,5,0,0,1,0,0,0,0
80559,positive,5,0,0,1,0,0,0,0
80561,positive,4,0,0,1,0,0,0,0
80669,neutral,3,1,1,1,0,0,1,0
80686,positive,5,0,0,1,1,0,0,0
80702,negative,1,1,0,0,0,0,0,0
80795,negative,2,0,0,1,0,0,0,0
80855,negative,2,1,1,1,0,0,0,0
80914,positive,5,1,0,1,1,1,0,0
80927,negative,1,0,0,1,0,0,0,0
80929,positive,5,0,1,1,1,0,0,0
80936,negative,1,1,0,0,0,0,0,1
81009,negative,1,1,0,1,0,0,0,0
81023,negative,2,0,0,0,0,0,1,1
81090,positive,5,0,0,1,0,0,0,0
81117,positive,5,0,1,1,0,0,0,0
81122,positive,4,0,1,1,1,1,0,0
81140,positive,4,0,0,1,1,1,0,0
81186,positive,5,0,0,1,0,0,1,0
81187,positive,5,0,0,1,0,0,1,0
81249,positive,5,0,0,1,0,0,0,0
81283,negative,1,0,0,1,0,1,0,1
81299,positive,5,0,0,1,1,0,0,0
